Scene name,Original Tag,Corrected Tag,Num Corrections
00006-HkseAnWCgqk,"tiled floor","floor",1
00009-vLpv2VX547B,"beside table","bedside table",1
00009-vLpv2VX547B,"cartboard","cardboard",1
00009-vLpv2VX547B,"table tray","tray",3
00009-vLpv2VX547B,"toolbox","tool box",1
00009-vLpv2VX547B,"unknown clutter","clutter",6
00009-vLpv2VX547B,"unknown kitchen appliance","kitchen appliance",1
00016-qk9eeNeR4vw," ledTv","led tv",1
00016-qk9eeNeR4vw,"Ceiling","ceiling",1
00016-qk9eeNeR4vw,"books","book",4
00016-qk9eeNeR4vw,"cabient","cabinet",2
00016-qk9eeNeR4vw,"ceiling light ","ceiling lamp",3
00016-qk9eeNeR4vw,"cieling","ceiling",1
00016-qk9eeNeR4vw,"doorframe","door frame",1
00016-qk9eeNeR4vw,"electric wire ","electric wire",1
00016-qk9eeNeR4vw,"florr","floor",1
00016-qk9eeNeR4vw,"night table","nightstand",2
00016-qk9eeNeR4vw,"toilet bin","trash can",1
00016-qk9eeNeR4vw,"toilet sink","sink",1
00016-qk9eeNeR4vw,"trash bin","trashcan",1
00016-qk9eeNeR4vw,"window ","window",2
00017-oEPjPNSPmzL,"blinder","blinds",1
00017-oEPjPNSPmzL,"book shelf","bookshelf",1
00017-oEPjPNSPmzL,"books","book",5
00017-oEPjPNSPmzL,"ceiling  lamp","ceiling lamp",2
00017-oEPjPNSPmzL,"kitchen countertop","kitchen counter",1
00017-oEPjPNSPmzL,"small table","table",1
00017-oEPjPNSPmzL,"trash bin","trashcan",1
00020-XYyR54sxe6b,"door ","door",8
00020-XYyR54sxe6b,"stair railing","banister",1
00020-XYyR54sxe6b,"tabletop","table",5
00020-XYyR54sxe6b,"trash bin","trashcan",3
00022-gmuS7Wgsbrx,"ceiling ","ceiling",1
00022-gmuS7Wgsbrx,"table plant","plant",2
00022-gmuS7Wgsbrx,"terrace door","door",2
00022-gmuS7Wgsbrx,"tiled floor","floor",14
00022-gmuS7Wgsbrx,"toilet paper holder","toilet paper dispenser",2
00022-gmuS7Wgsbrx,"toilet plunger","plunger",1
00023-zepmXAdrpjR,"doorframe","door frame",9
00023-zepmXAdrpjR,"toilet bin","trash can",1
00023-zepmXAdrpjR,"unknown clutter","clutter",8
00025-ixTj1aTMup2,"flower pot","flowerpot",1
00025-ixTj1aTMup2,"hood","range hood",1
00025-ixTj1aTMup2,"night table","nightstand",4
00025-ixTj1aTMup2,"toilet paper holder","toilet paper dispenser",3
00025-ixTj1aTMup2,"trash bin","trashcan",6
00031-Wo6kuutE9i7,"table tray","tray",1
00031-Wo6kuutE9i7,"toilet paper holder","toilet paper dispenser",1
00031-Wo6kuutE9i7,"towel holder","towel bar",2
00033-oPj9qMxrDEa,"detergent bottles","detergent bottle",1
00033-oPj9qMxrDEa,"heating furnace part","furnace",2
00033-oPj9qMxrDEa,"insect door","door screen",1
00033-oPj9qMxrDEa,"player","music player",1
00033-oPj9qMxrDEa,"shoes","shoe",3
00033-oPj9qMxrDEa,"stack of cd's","stack of cds",3
00033-oPj9qMxrDEa,"teddy bear","stuffed animal",3
00033-oPj9qMxrDEa,"toilet flush","handle",1
00033-oPj9qMxrDEa,"towel holder","towel bar",1
00033-oPj9qMxrDEa,"trash bin","trashcan",2
00033-oPj9qMxrDEa,"windowsill","window frame",2
00034-6imZUJGRUq4,"Floor","floor",1
00034-6imZUJGRUq4,"decotarion","decoration",1
00034-6imZUJGRUq4,"device ","device",1
00034-6imZUJGRUq4,"door ","door",3
00034-6imZUJGRUq4,"tabletop","table",2
00034-6imZUJGRUq4,"toolbox","tool box",6
00034-6imZUJGRUq4,"towel basket","basket",2
00034-6imZUJGRUq4,"trash bin","trashcan",5
00035-3XYAD64HpDr,"books","book",3
00035-3XYAD64HpDr,"coffe machine","coffee machine",1
00035-3XYAD64HpDr,"cross-trainer ","cross-trainer",1
00035-3XYAD64HpDr,"dishawasher","dishwasher",1
00035-3XYAD64HpDr,"door rame","door frame",1
00035-3XYAD64HpDr,"joga mat","yoga mat",2
00035-3XYAD64HpDr,"kitchen countertop","kitchen counter",2
00035-3XYAD64HpDr,"ornament plant","plant",1
00035-3XYAD64HpDr,"rocks","rock",1
00035-3XYAD64HpDr,"tablecloth","table cloth",1
00035-3XYAD64HpDr,"towel hang","towel bar",2
00035-3XYAD64HpDr,"towell","towel",1
00035-3XYAD64HpDr,"tv stand door","door",2
00035-3XYAD64HpDr,"washbasin cabinet","wash cabinet",1
00035-3XYAD64HpDr,"windoow shade","window shade",1
00035-3XYAD64HpDr,"window  frame","window frame",2
00035-3XYAD64HpDr,"window  shade","window shade",2
00035-3XYAD64HpDr,"window ","window",2
00035-3XYAD64HpDr,"window fram","window frame",1
00043-Jfyvj3xn2aJ,"cabiinet","cabinet",1
00043-Jfyvj3xn2aJ,"curtains","curtain",1
00043-Jfyvj3xn2aJ,"decoratiom","decoration",1
00043-Jfyvj3xn2aJ,"hairbrush","hair brush",2
00043-Jfyvj3xn2aJ,"hairdryer","hair dryer",1
00043-Jfyvj3xn2aJ,"mattress","bed",1
00043-Jfyvj3xn2aJ,"shelf /w clutter","shelf with clutter",2
00043-Jfyvj3xn2aJ,"stove door","door",1
00043-Jfyvj3xn2aJ,"table plant","plant",1
00043-Jfyvj3xn2aJ,"tiled floor","floor",3
00043-Jfyvj3xn2aJ,"tire ","tire",4
00043-Jfyvj3xn2aJ,"toilet paper holder","toilet paper dispenser",1
00043-Jfyvj3xn2aJ,"toilet plunger","plunger",1
00043-Jfyvj3xn2aJ,"toolbox","tool box",1
00043-Jfyvj3xn2aJ,"towel holder","towel bar",1
00043-Jfyvj3xn2aJ,"trash bin","trashcan",1
00043-Jfyvj3xn2aJ,"unknown kitchen appliance","kitchen appliance",1
00043-Jfyvj3xn2aJ,"washing machine ","washing machine",1
00055-HxmXPBbFCkH," cabinet","cabinet",1
00055-HxmXPBbFCkH,"","unknown",1
00055-HxmXPBbFCkH,"doorframe","door frame",2
00055-HxmXPBbFCkH,"stairs ","stairs",1
00055-HxmXPBbFCkH,"towel basket","basket",1
00055-HxmXPBbFCkH,"unknown kitchen appliance","kitchen appliance",1
00057-1UnKg1rAb8A,"dool","doll",1
00057-1UnKg1rAb8A,"door ","door",2
00057-1UnKg1rAb8A,"frame door","frame",1
00057-1UnKg1rAb8A,"jewlery box","jewelry box",1
00057-1UnKg1rAb8A,"loft hatch","hatch",1
00057-1UnKg1rAb8A,"microvawe","microwave",1
00057-1UnKg1rAb8A,"ornament plant","plant",16
00057-1UnKg1rAb8A,"ornaments","ornament",1
00057-1UnKg1rAb8A,"piillow","pillow",2
00057-1UnKg1rAb8A,"pilllow","pillow",6
00057-1UnKg1rAb8A,"tiled wall","wall",3
00057-1UnKg1rAb8A,"toilet paper holder","toilet paper dispenser",1
00057-1UnKg1rAb8A,"towel holder","towel bar",2
00057-1UnKg1rAb8A,"trash bin","trashcan",2
00057-1UnKg1rAb8A,"unknow","unknown",2
00057-1UnKg1rAb8A,"ventialtion","ventilation",1
00057-1UnKg1rAb8A,"wash basin","washbasin",2
00059-kJxT5qssH4H,"door ","door",1
00059-kJxT5qssH4H,"tiled floor","floor",1
00059-kJxT5qssH4H,"toilet bin","trash can",2
00059-kJxT5qssH4H,"toilet paper holder","toilet paper dispenser",1
00059-kJxT5qssH4H,"towel holder","towel bar",1
00062-ACZZiU6BXLz,"cailing lamp","ceiling lamp",1
00062-ACZZiU6BXLz,"night stand","nightstand",2
00062-ACZZiU6BXLz,"night table","nightstand",2
00062-ACZZiU6BXLz,"shower curtain ","shower curtain",1
00062-ACZZiU6BXLz,"stove and oven","oven",1
00062-ACZZiU6BXLz,"wall  clock","wall clock",1
00062-ACZZiU6BXLz,"wardrobe mirror","mirror",1
00064-gQgtJ9Stk5s,"bed frame","bedframe",1
00064-gQgtJ9Stk5s,"books","book",41
00064-gQgtJ9Stk5s,"cardboardbox","cardboard box",1
00064-gQgtJ9Stk5s,"cerpet","carpet",1
00064-gQgtJ9Stk5s,"firewood ","firewood",1
00064-gQgtJ9Stk5s,"mattress","bed",3
00064-gQgtJ9Stk5s,"musical equipment","music equipment",1
00064-gQgtJ9Stk5s,"shelf /w clutter","shelf with clutter",1
00064-gQgtJ9Stk5s,"shoes","shoe",3
00064-gQgtJ9Stk5s,"table clutter","clutter",1
00064-gQgtJ9Stk5s,"tablecloth","table cloth",2
00064-gQgtJ9Stk5s,"tabletop games","game",2
00064-gQgtJ9Stk5s,"tabletop","table",1
00064-gQgtJ9Stk5s,"teddy bear","stuffed animal",1
00064-gQgtJ9Stk5s,"terrace door","door",2
00064-gQgtJ9Stk5s,"toilet bin","trash can",1
00064-gQgtJ9Stk5s,"toilet sink","sink",1
00064-gQgtJ9Stk5s,"toolbox","tool box",1
00064-gQgtJ9Stk5s,"towels","towel",3
00064-gQgtJ9Stk5s,"toys","toy",3
00064-gQgtJ9Stk5s,"trash bin","trashcan",3
00064-gQgtJ9Stk5s,"unknon","unknown",2
00064-gQgtJ9Stk5s,"unknown clutter","clutter",4
00064-gQgtJ9Stk5s,"wall decoration","picture",1
00064-gQgtJ9Stk5s,"window curtain bar","window curtain",1
00081-5biL7VEkByM,"WALL","wall",3
00081-5biL7VEkByM,"bathtub ","bathtub",2
00081-5biL7VEkByM,"books","book",140
00081-5biL7VEkByM,"ceiling pipes","ceiling pipe",1
00081-5biL7VEkByM,"curtain ","curtain",2
00081-5biL7VEkByM,"decorations","decoration",1
00081-5biL7VEkByM,"documents","document",4
00081-5biL7VEkByM,"door ","door",7
00081-5biL7VEkByM,"frame part","frame",1
00081-5biL7VEkByM,"kitchen hood","range hood",1
00081-5biL7VEkByM,"kitchen upper cabinet","kitchen cabinet",2
00081-5biL7VEkByM,"letter","document",1
00081-5biL7VEkByM,"paint","unknown",1
00081-5biL7VEkByM,"pile of boxes","boxes",4
00081-5biL7VEkByM,"pipes","pipe",3
00081-5biL7VEkByM,"pomp","pump",1
00081-5biL7VEkByM,"poster figure","poster",1
00081-5biL7VEkByM,"towel hanger","towel bar",2
00081-5biL7VEkByM,"trofeum","trophy",2
00081-5biL7VEkByM,"unknown cluter","clutter",1
00081-5biL7VEkByM,"unknown device","unknown",2
00081-5biL7VEkByM,"unknown/ probably bin","bin",1
00081-5biL7VEkByM,"unknown/ probably decoration","decoration",1
00081-5biL7VEkByM,"unknown/ probably decorative plant","decorative plant",1
00081-5biL7VEkByM,"unknown/ probably fire detector","smoke detector",8
00081-5biL7VEkByM,"unknown/ probably security detector","security detector",1
00081-5biL7VEkByM,"washbasin cabinet","wash cabinet",1
00081-5biL7VEkByM,"washdisher machine","dishwasher",1
00081-5biL7VEkByM,"window sill","window frame",1
00081-5biL7VEkByM,"windowsill","window frame",1
00081-5biL7VEkByM,"workout weight","weights",1
00087-YY8rqV6L6rf,"books","book",9
00087-YY8rqV6L6rf,"kitchen countertop","kitchen counter",2
00087-YY8rqV6L6rf,"piping","pipe",4
00087-YY8rqV6L6rf,"shelves","shelving",1
00087-YY8rqV6L6rf,"table clutter","clutter",1
00087-YY8rqV6L6rf,"toilet bin","trash can",1
00087-YY8rqV6L6rf,"tool board","tool rack",2
00087-YY8rqV6L6rf,"toolbox","tool box",3
00087-YY8rqV6L6rf,"towel rod","towel bar",1
00087-YY8rqV6L6rf,"unknown kitchen stuff","unknown",1
00096-6HRFAUDqpTb,"doorframe","door frame",22
00096-6HRFAUDqpTb,"shelf /w art","shelf with art",2
00099-226REUyJh2K,"night table","nightstand",5
00099-226REUyJh2K,"tabletop","table",1
00099-226REUyJh2K,"tv ","tv",1
00099-226REUyJh2K,"warderobe","wardrobe",1
00105-xWvSkKiWQpC,"BIN","bin",1
00105-xWvSkKiWQpC,"DESK","desk",1
00105-xWvSkKiWQpC,"affice chair","office chair",1
00105-xWvSkKiWQpC,"books","book",4
