"Category","Count","Votes","Region Proposal"
"acoustic panel",12,1,
"advertisement",1,1,
"air conditioner",83,1,
"air conditioning",28,1,
"air duct",16,1,
"air freshener",5,1,
"air heater",1,1,
"air hockey",1,1,
"air purifier",1,1,
"air refresher",3,1,
"air vent",198,1,
"air vent fan",1,1,
"air vent installation",4,1,
"aisle frame",2,1,
"alarm",138,1,
"alarm clock",39,1,
"alarm control",10,1,
"alarm controller",1,1,
"album",3,1,
"albums",7,1,
"alcohol bottles",1,1,
"american flag",1,1,
"amplifier",41,1,
"antique clock",7,1,
"antique telephone",2,1,
"antlers",1,1,
"apple",1,1,
"appliance",303,1,
"apron",1,1,
"aquarium",3,1,
"arcade",1,1,
"arcade game",8,1,
"arch",39,1,
"archway",15,1,
"armchair",498,1,
"art frame",128,1,
"art piece",1,1,
"art/clutter",5,1,
"art/muscle shell",8,1,
"art/statue",2,1,
"artwork",48,1,
"artwork frame",3,1,
"ashtray",2,1,
"attic door",31,1,
"attic entrance",1,1,
"attic hatch",8,1,
"audio cable",5,1,
"audio cables",11,1,
"audio player",1,1,
"axe",2,1,
"baby chair",1,1,
"baby changing station",3,1,
"baby changing table",2,1,
"baby seat",1,1,
"backpack",40,1,
"backrest",11,1,
"backsplash",2,1,
"bag",769,1,
"bag with sheets",1,1,
"bag with something",1,1,
"bags",18,1,
"balcony",2,1,
"balcony railing",8,1,
"ball",47,1,
"ball chair",1,1,
"ball pool",1,1,
"ball pouffe",2,1,
"balustrade",37,1,
"banister",76,1,
"banner",2,1,
"bar",58,1,
"bar cabinet",11,1,
"bar chair",72,1,
"bar soap",3,1,
"barbecue",2,1,
"barbell",2,1,"rec room"
"barrel",5,1,
"base",1,1,
"baseball bat",2,1,
"baseball cap",2,1,
"baseboard",8,1,
"basin",11,1,
"basin faucet",1,1,
"basket",526,1,
"basket of fruits",1,1,
"basket of something",257,1,
"basket of towels",8,1,
"basket with books",1,1,
"basket with clothes",3,1,
"basketball hoop",1,1,
"basketballs",1,1,
"baskets",1,1,
"bath",30,1,"bathroom"
"bath bar",1,1,"bathroom"
"bath cabinet",31,1,"bathroom"
"bath carpet",1,1,"bathroom"
"bath cosmetics",1,1,"bathroom"
"bath curtain",2,1,"bathroom"
"bath curtain bar",1,1,"bathroom"
"bath dial",6,1,"bathroom"
"bath door",1,1,"bathroom"
"bath door frame",2,1,"bathroom"
"bath faucet",34,1,"bathroom"
"bath floor",1,1,"bathroom"
"bath grab bar",1,1,"bathroom"
"bath hanger",1,1,"bathroom"
"bath mat",30,1,"bathroom"
"bath shelf",4,1,"bathroom"
"bath shower",1,1,"bathroom"
"bath side table",1,1,"bathroom"
"bath sink",37,1,"bathroom"
"bath tap",3,1,"bathroom"
"bath towel",57,1,"bathroom"
"bath towels",4,1,"bathroom"
"bath tub",8,1,"bathroom"
"bath utensil",22,1,"bathroom"
"bath wall",88,1,"bathroom"
"bathmat",2,1,"bathroom"
"bathrobe",23,1,"bathroom"
"bathroom accessory",216,1,"bathroom"
"bathroom art",10,1,"bathroom"
"bathroom cabinet",238,1,"bathroom"
"bathroom cabinet door",2,1,"bathroom"
"bathroom cabinet drawer",2,1,"bathroom"
"bathroom counter",46,1,"bathroom"
"bathroom floor",5,1,"bathroom"
"bathroom glass",3,1,"bathroom"
"bathroom mat",2,1,"bathroom"
"bathroom rug",5,1,"bathroom"
"bathroom shelf",73,1,"bathroom"
"bathroom stuff",2,1,"bathroom"
"bathroom towel",92,1,"bathroom"
"bathroom utensil",159,1,"bathroom"
"bathroom utensils",4,1,"bathroom"
"bathroom wall",12,1,"bathroom"
"bathroom window",4,1,"bathroom"
"bathtub",190,1,"bathroom"
"bathtub knob",1,1,"bathroom"
"bathtub platform",15,1,"bathroom"
"bathtub tap",1,1,"bathroom"
"bathtub utensil",20,1,"bathroom"
"beam",529,1,
"bean bag chair",4,1,
"beanbag",12,1,
"beanbag chair",4,1,
"bed",715,10,"bedroom"
"bed base",1,1,"bedroom"
"bed cabinet",4,1,"bedroom"
"bed cabinet lamp",1,1,"bedroom"
"bed comforter",16,1,"bedroom"
"bed curtain",6,1,"bedroom"
"bed for pet",1,1,
"bed ladder",1,1,"bedroom"
"bed light",3,1,"bedroom"
"bed sheet",8,1,"bedroom"
"bed small",4,1,"bedroom"
"bed stand",21,1,"bedroom"
"bed table",103,1,"bedroom"
"bedding",2,1,"bedroom"
"bedframe",15,1,"bedroom"
"bedpost",4,1,"bedroom"
"bedroom ceiling",8,1,"bedroom"
"bedroom table",1,1,"bedroom"
"bedside cabinet",38,1,"bedroom"
"bedside cabinet door",4,1,"bedroom"
"bedside cabinet drawer",3,1,"bedroom"
"bedside lamp",143,1,"bedroom"
"bedside table",27,1,"bedroom"
"beer crate",2,1,
"bell",2,1,
"belt",2,1,
"bench",130,1,
"beverage dispenser",2,1,
"bicycle",27,1,
"bicycle helmet",1,1,
"bicycle helmets",1,1,
"bidet",22,1,"bathroom"
"big bag",1,1,
"billiard balls",1,1,
"billiard cue",1,1,
"billiard cues",2,1,
"bin",189,1,
"binder",64,1,
"binders",8,1,
"birdhouse",1,1,
"blackboard",4,1,
"blanket",336,1,
"blanket basket",1,1,
"blankets",8,1,
"blinds",333,1,
"blouse",2,1,
"board",206,1,
"board game",34,1,
"board games",4,1,
"board with keys",1,1,
"boards",3,1,
"boat model",3,1,
"boiler",30,1,
"bonsai tree",1,1,
"book",2434,1,
"book cabinet",4,1,
"book display",40,1,
"book rack",42,1,
"bookshelf",109,1,
"bookstand",2,1,
"boots",4,1,
"bottle",407,1,
"bottle dispenser",1,1,
"bottle of detergent",162,1,
"bottle of soap",43,1,
"bottle of water",1,1,
"bottle of wine",1,1,
"bottle opener",1,1,
"bottles",46,1,
"bottles of water",1,1,
"bottles of wine",8,1,
"bottom of stairs",2,1,
"bouquet",29,1,
"bowl",185,1,
"bowl of fruit",47,1,
"bowl of fruits",1,1,
"bowl of sweets",1,1,
"bowl with sweets",1,1,
"bowls",1,1,
"box",2463,1,
"box of food",1,1,
"box of fruit",1,1,
"box of paper",1,1,
"box of something",7,1,
"box of tissue",15,1,
"box of tissues",36,1,
"box pen",1,1,
"box with books",59,1,
"box with jewelry",1,1,"bedroom"
"box with photos",1,1,
"box with shoes",1,1,
"box with tea",1,1,
"box with toys",1,1,
"boxes",67,1,
"boxes with books",12,1,
"boxing ring",1,1,
"bread",1,1,
"bread bin",2,1,
"bread box",1,1,
"breadbox",1,1,
"bricks",2,1,
"bridge",1,1,
"briefcase",10,1,
"brochure",68,1,
"brochures",4,1,
"broom",71,1,
"broomstick",5,1,
"brush",43,1,
"brushes",1,1,
"bucket",153,1,
"buckets",1,1,
"buffet",1,1,
"bulletin board",9,1,
"bunk bed",1,10,
"bureau",3,1,
"bust",2,1,
"button",10,1,
"cabinet",2529,1,
"cabinet /otherroom",61,1,
"cabinet /w clutter",3,1,
"cabinet /w cluttered art",2,1,
"cabinet clutter",9,1,
"cabinet counter",1,1,
"cabinet door",202,1,
"cabinet drawer",36,1,
"cabinet kitchen",2,1,"kitchen"
"cabinet mirror",2,1,
"cabinet parts",1,1,
"cabinet table",9,1,
"cable",4,1,
"cables",11,1,
"cage",3,1,
"cake",1,1,
"calculator",7,1,
"calendar",51,1,
"camera",33,1,
"camping chair",1,1,
"can",186,1,
"can of paint",40,1,
"canal",1,1,
"candelabra",2,1,
"candle",297,1,
"candle holder",54,1,
"candle stand",1,1,
"candlestick",27,1,
"canister",9,1,
"canoe",1,1,
"canopy",3,1,
"cans",1,1,
"cans of paint",3,1,
"canvas",8,1,
"cap",18,1,
"car",6,1,
"car model",1,1,
"card",1,1,
"cardboard",15,1,
"cardboard box",604,1,
"carpet",388,1,
"carpet roll",8,1,
"cart",17,1,
"case",195,1,
"cases",1,1,
"cash register",3,1,
"casket",32,1,
"cassette",4,1,
"cat",3,1,
"cat bed",2,1,
"cat food",1,1,
"cat food bag",1,1,
"cat litter box",1,1,
"cat toilet",1,1,
"cat tree",1,1,
"cd",1,1,
"cd player",2,1,
"cds",1,1,
"ceiling",4440,1,
"ceiling arch",12,1,
"ceiling bedroom",1,1,"bedroom"
"ceiling boarder",4,1,
"ceiling border",7,1,
"ceiling chassis",1,1,
"ceiling corridor",1,1,
"ceiling decorative lamp",1,1,
"ceiling dome",17,1,
"ceiling door",20,1,
"ceiling duct",15,1,
"ceiling fan",149,1,
"ceiling fan lamp",13,1,
"ceiling fan vent",1,1,
"ceiling fire detector",1,1,
"ceiling fixture",4,1,
"ceiling floor",1,1,
"ceiling hanger",1,1,
"ceiling ladder",1,1,
"ceiling lamp",2519,1,
"ceiling lamp hanger",6,1,
"ceiling lamp rail",1,1,
"ceiling light",100,1,
"ceiling light fixture connection",63,1,
"ceiling lower",64,1,
"ceiling molding",45,1,
"ceiling panel",1,1,
"ceiling pipe",31,1,
"ceiling support",6,1,
"ceiling under staircase",2,1,
"ceiling under stairs",34,1,
"ceiling vent",178,1,
"ceiling wall",83,1,
"ceiling window",17,1,
"ceiling/west wall",12,1,
"central heating furnace",1,1,
"ceramics",4,1,
"chain",1,1,
"chair",2339,1,
"chair /w clutter",1,1,
"chair stand",1,1,
"chaise",1,1,
"chaise longue",2,1,
"chamber pot",1,1,
"chandelier",103,1,
"changing table",1,1,
"charger",2,1,
"chassis",2,1,
"chess",3,1,
"chest",87,1,
"chest bench",1,1,
"chest drawer",11,1,
"chest of drawer",1,1,
"chest of drawers",167,1,
"child car seat",1,1,
"chimney",6,1,
"christmas tree",3,1,
"circular sofa",6,1,"living room"
"clarinet",5,1,
"cleaner",1,1,
"cleaner bottle",1,1,
"cleaner brush",1,1,
"cleaning clutter",5,1,
"cleaning fluid",2,1,
"cleaning liquid",4,1,
"cleaning paper",1,1,
"cleaning paste",2,1,
"cleaning powders/ liquids",1,1,
"cleaning sponge",1,1,
"cleaning spray",1,1,
"clock",210,1,
"closet",60,1,
"closet area for hanging clothes",6,1,
"closet door",62,1,
"closet floor",1,1,
"closet mirror wall",14,1,
"closet rod",19,1,
"closet shelf",17,1,
"closet shelving",7,1,
"closet storage area",4,1,
"cloth",192,1,
"cloth dryer",2,1,
"cloth hanger",9,1,
"cloth hangers",1,1,
"cloth holder",1,1,
"clothes",748,1,
"clothes bag",13,1,
"clothes container",11,1,
"clothes dryer",31,1,
"clothes hamper",14,1,
"clothes hanger",83,1,
"clothes hanger rod",21,1,
"clothes on shelf",1,1,
"clothes rack",27,1,
"clothing stand",2,1,
"clutter",328,1,
"coach",4,1,
"coaster",2,1,
"coat",12,1,
"coat hanger",13,1,
"coat rack",11,1,
"coffee machine",120,1,
"coffee maker",24,1,
"coffee mug",24,1,
"coffee table",162,1,"living room"
"column",45,1,
"compound wall",1,1,
"compressor",2,1,
"computer",37,1,"office"
"computer chair",8,1,"office"
"computer desk",24,1,"office"
"computer equipment",18,1,"office"
"computer mouse",42,1,"office"
"computer tower",2,1,"office"
"condensation furnace",1,1,
"condiment",4,1,
"cone",2,1,
"conference phone",1,1,
"console",2,1,
"console pad",2,1,
"console pad charger",1,1,
"construction stuff",1,1,
"container",313,1,
"containers",18,1,
"control",7,1,
"control panel",12,1,
"controller",3,1,
"cook book",2,1,
"cooker",28,1,
"cooker hood",1,1,
"cookies",1,1,
"copier",1,1,
"copier machine",3,1,
"cork board",1,1,
"cornice",3,1,
"cosmetic",129,1,
"cosmetics",180,1,
"couch",331,1,"living room"
"counter",10,1,
"counter desk",1,1,
"counter door",6,1,
"countertop",118,1,
"countertop /otherroom",8,1,
"countertop item",14,1,
"cover",23,1,
"cradle",3,1,
"crate",33,1,
"crayon",1,1,
"crib",15,1,
"cross",6,1,
"cross-trainer",1,1,
"crutches",1,1,
"cuddly toy",47,1,
"cup",199,1,
"cups",6,1,
"curb",3,1,
"curtain",1206,1,
"curtain bar",30,1,
"curtain box",1,1,
"curtain hanger",2,1,
"curtain rail",96,1,
"curtain rod",255,1,
"curtain rod cover",5,1,
"curtain valence",3,1,
"cushion",420,1,
"cutlery",7,1,
"cutting board",51,1,
"cyp",1,1,
"dartboard",7,1,
"deck chair",2,1,
"decoder",9,1,
"decor",90,1,
"decoration",2047,1,
"decorative bottle",1,1,
"decorative bowl",20,1,
"decorative ceramic",1,1,
"decorative cloth",1,1,
"decorative dinnerware",14,1,
"decorative frame",1,1,
"decorative lamp",5,1,
"decorative lantern",2,1,
"decorative mask",1,1,
"decorative plant",353,1,
"decorative plate",73,1,
"decorative quilt",4,1,
"decorative tray",1,1,
"decorative vase",4,1,
"decorative vessel",3,1,
"decorative window",1,1,
"dehumidifier",5,1,
"den",1,1,
"desk",353,1,"office"
"desk cabinet",1,1,"office"
"desk chair",71,1,"office"
"desk clutter",19,1,"office"
"desk door",1,1,"office"
"desk lamp",32,1,"office"
"desk organizer",1,1,"office"
"detergent",10,1,
"detergent bottle",2,1,
"device",293,1,
"dining chair",277,1,"dining room"
"dining table",63,1,"dining room"
"dinner chair",10,1,"dining room"
"dinner table",8,1,"dining room"
"dinnerware",10,1,
"diploma",16,1,
"dirt ground",5,1,
"dish",18,1,
"dish cabinet",1,1,
"dish dryer",3,1,
"dish rack",1,1,"kitchen"
"dishes",8,1,
"dishrag",13,1,
"dishwasher",138,1,"kitchen"
"dispenser",2,1,
"display",64,1,
"display cabinet",73,1,
"display case",3,1,
"display of pictures",3,1,
"display table",9,1,
"document",44,1,
"document holder",4,1,
"dog bed",15,1,
"dog leash",2,1,
"dog toy",1,1,
"doily",2,1,
"doll",20,1,
"door",3622,1,
"door /otherroom",1,1,
"door cabinet",25,1,
"door frame",3477,1,
"door handle",12,1,
"door hinge",41,1,
"door knob",343,1,
"door screen",1,1,
"door stopper",15,1,
"door window",87,1,
"door/window",16,1,
"door/window frame",13,1,
"doorbell",1,1,
"doormat",98,1,
"doorpost",102,1,
"doorstep",22,1,
"doorway",14,1,
"double armchair",1,1,
"drain",1,1,
"drainage",1,1,
"drainpipe",1,1,
"draw",1,1,
"drawer",490,1,
"drawer cabinet",1,1,
"drawer cart",1,1,
"drawer desk",1,1,
"drawer sink table",1,1,
"drawers",7,1,
"drawers for clothes",1,1,
"drawing",9,1,
"dress",2,1,
"dresser",198,1,"bedroom"
"dressing table",8,1,
"dried flowers",8,1,
"drill",2,1,
"drinking fountain",2,1,
"drum",24,1,
"drywall board",5,1,
"duct",22,1,
"dumbbell",33,1,
"dustbin",19,1,
"dustpan",4,1,
"duvet",2,1,
"dvd",23,1,
"dvd player",3,1,
"easel",6,1,
"easy chair",5,1,
"electric box",78,1,
"electric cable",2,1,
"electric cord",2,1,
"electric device",3,1,
"electric drum",1,1,
"electric freshener",1,1,
"electric guitar",33,1,
"electric heater",2,1,
"electric hub",2,1,
"electric installation",3,1,
"electric kettle",3,1,
"electric outlet",13,1,
"electric percussion",2,1,
"electric plug",1,1,
"electric toothbrush",3,1,
"electric wire",2,1,
"electric wire casing",6,1,
"electrical box",25,1,
"electrical controller",42,1,
"electrical device",1,1,
"electrical installation",1,1,
"electrical switchboard",2,1,
"electricity box",3,1,
"electronics",4,1,
"elephant sculpture",4,1,
"elevator",11,1,
"elevator door",5,1,
"emergency sign",1,1,
"end table",16,1,
"entertainment set",6,1,
"entrance arch",1,1,
"entry phone",1,1,
"exercise ball",21,1,"rec room"
"exercise bike",10,1,"rec room"
"exercise equipment",33,1,"rec room"
"exercise ladder",1,1,"rec room"
"exercise machine",21,1,"rec room"
"exercise mat",5,1,"rec room"
"exercise mat roll",4,1,"rec room"
"exercising blocks",1,1,"rec room"
"exhaust pipe",3,1,
"exhibition panel",6,1,
"exhibition picture",2,1,
"exhibition table",1,1,
"exhibition window",20,1,
"exhibition window frame",20,1,
"exit sign",19,1,
"extension cord",4,1,
"extension lead",1,1,
"extractor",1,1,
"extractor hood",1,1,
"eyeglasses",2,1,
"fan",157,1,
"fan air vent",1,1,
"fan coil",17,1,
"faucet",213,1,
"fence",16,1,
"figure",41,1,
"figurine",14,1,
"file",4,1,
"file binder",1,1,
"file cabinet",11,1,
"fire alarm",157,1,
"fire detector",23,1,
"fire extinguisher",54,1,
"fire pit",2,1,
"fire screen",3,1,
"fire sprinkler",18,1,
"firebox",1,1,
"fireplace",130,1,
"fireplace brush",1,1,
"fireplace floor",4,1,
"fireplace mirror",1,1,
"fireplace sconce",5,1,
"fireplace shelf",3,1,
"fireplace tool set",12,1,
"fireplace utensil",12,1,
"fireplace wall",58,1,
"firewood",19,1,
"firewood bag",1,1,
"firewood chest",1,1,
"firewood holder",8,1,
"fish tank",2,1,
"fishing pole",3,1,
"fishing rod",1,1,
"fitness ball",1,1,
"flag",15,1,
"flashlight",1,1,
"flatware",20,1,
"floor",3231,1,
"floor /otherroom",1,1,
"floor /outside",7,1,
"floor frame",1,1,
"floor lamp",99,1,
"floor mat",76,1,
"floor stand",4,1,
"floor vent",15,1,
"flower",189,1,
"flower stand",21,1,
"flower vase",209,1,
"flowerbed",2,1,
"flowerpot",301,1,
"fluorescent light",14,1,
"flush",4,1,
"flush button",4,1,
"flush push",1,1,
"foam",1,1,
"folded chair",3,1,
"folded table",1,1,
"folder",71,1,
"folding chair",31,1,
"folding stand",1,1,
"food",43,1,
"food processor",1,1,
"food stand",1,1,
"food tray",4,1,
"foosball game table",3,1,"rec room"
"foosball table",1,1,"rec room"
"foot spa",1,1,
"foot stand",1,1,
"football",3,1,
"footrest",22,1,
"footstool",8,1,
"fork",8,1,
"frame",136,1,
"framed text",1,1,
"freezer",7,1,
"fridge",54,1,"kitchen"
"fruit",19,1,
"fruit bowl",14,1,
"frying pan",1,1,
"fume cupboard",2,1,
"fur",2,1,
"fur carpet",1,1,
"furnace",27,1,
"furniture",26,1,
"fuse box",15,1,
"fuse panel",1,1,
"game",3,1,
"game board",1,1,
"game console",1,1,
"gap",2,1,
"garage door",33,1,"garage"
"garage door frame",12,1,"garage"
"garage door motor",5,1,"garage"
"garage door opener",3,1,"garage"
"garage door opener bar",4,1,"garage"
"garage door opener motor",9,1,"garage"
"garage door opener railing",2,1,"garage"
"garage door railing",30,1,"garage"
"garage light",9,1,"garage"
"garden bench",1,1,
"garden chair",4,1,
"garden deck",1,1,
"gas box",1,1,
"gas container",1,1,
"gas furnace",1,1,
"gas meter",1,1,
"gate",4,1,
"gauge",1,1,
"gift",8,1,
"glass",175,1,
"glass container",1,1,
"glass door",2,1,
"glass pane",1,1,
"glasses",10,1,
